Time, Study Part, Sample, Trial Number, In progress, Sole A, Sole B, Sole C, Sole D, Sole E, Sole F, No Touch
121.3415,A,40,2,True,0,0,0,0,0,0,1
121.3526,A,40,2,True,0,0,0,0,0,0,1
121.3637,A,40,2,True,0,0,0,0,0,0,1
121.3748,A,40,2,True,0,0,0,0,0,0,1
121.3859,A,40,2,True,0,0,0,0,0,0,1
121.397,A,40,2,True,0,0,0,0,0,0,1
121.4081,A,40,2,True,0,0,0,0,0,0,1
121.4193,A,40,2,True,0,0,0,0,0,0,1
121.4304,A,40,2,True,0,0,0,0,0,0,1
121.4415,A,40,2,True,0,0,0,0,0,0,1
121.4526,A,40,2,True,0,0,0,0,0,0,1
121.4637,A,40,2,True,0,0,0,0,0,0,1
121.4748,A,40,2,True,0,0,0,0,0,0,1
121.4859,A,40,2,True,0,0,0,0,0,0,1
121.497,A,40,2,True,0,0,0,0,0,0,1
121.5081,A,40,2,True,0,0,0,0,0,0,1
121.5192,A,40,2,True,0,0,0,0,0,0,1
121.5303,A,40,2,True,0,0,0,0,0,0,1
121.5414,A,40,2,True,0,0,0,0,0,0,1
121.5526,A,40,2,True,0,0,0,0,0,0,1
121.5637,A,40,2,True,0,0,0,0,0,0,1
121.5748,A,40,2,True,0,0,0,0,0,0,1
121.5859,A,40,2,True,0,0,0,0,0,0,1
121.597,A,40,2,True,0,0,0,0,0,0,1
121.6081,A,40,2,True,0,0,0,0,0,0,1
121.6192,A,40,2,True,0,0,0,0,0,0,1
121.6303,A,40,2,True,0,0,0,0,0,0,1
121.6414,A,40,2,True,0,0,0,0,0,0,1
121.6525,A,40,2,True,0,0,0,0,0,0,1
121.6636,A,40,2,True,0,0,0,0,0,0,1
121.6747,A,40,2,True,0,0,0,0,0,0,1
121.6859,A,40,2,True,0,0,0,0,0,0,1
121.697,A,40,2,True,0,0,0,0,0,0,1
121.7081,A,40,2,True,0,0,0,0,0,0,1
121.7192,A,40,2,True,0,0,0,0,0,0,1
121.7303,A,40,2,True,0,0,0,0,0,0,1
121.7414,A,40,2,True,0,0,0,0,0,0,1
121.7525,A,40,2,True,0,0,0,0,0,0,1
121.7636,A,40,2,True,0,0,0,0,0,0,1
121.7747,A,40,2,True,0,0,0,0,0,0,1
121.7858,A,40,2,True,0,0,0,0,0,0,1
121.7969,A,40,2,True,0,0,0,0,0,0,1
121.808,A,40,2,True,0,0,0,0,0,0,1
121.8192,A,40,2,True,0,0,0,0,0,0,1
121.8303,A,40,2,True,0,0,0,0,0,0,1
121.8414,A,40,2,True,0,0,0,0,0,0,1
121.8525,A,40,2,True,0,0,0,0,0,0,1
121.8636,A,40,2,True,0,0,0,0,0,0,1
121.8747,A,40,2,True,0,0,0,0,0,0,1
121.8858,A,40,2,True,0,0,0,0,0,0,1
121.8969,A,40,2,True,0,0,0,0,0,0,1
121.908,A,40,2,True,0,0,0,0,0,0,1
121.9191,A,40,2,True,0,0,0,0,0,0,1
121.9302,A,40,2,True,0,0,0,0,0,0,1
121.9413,A,40,2,True,0,0,0,0,0,0,1
121.9525,A,40,2,True,0,0,0,0,0,0,1
121.9636,A,40,2,True,0,0,0,0,0,0,1
121.9747,A,40,2,True,0,0,0,0,0,0,1
121.9858,A,40,2,True,0,0,0,0,0,0,1
121.9969,A,40,2,True,0,0,0,0,0,0,1
122.008,A,40,2,True,0,0,0,0,0,0,1
122.0191,A,40,2,True,0,0,0,0,0,0,1
122.0302,A,40,2,True,0,0,0,0,0,0,1
122.0413,A,40,2,True,0,0,0,0,0,0,1
122.0524,A,40,2,True,0,0,0,0,0,0,1
